ICD10;AirP;AQHI;SH;CO;SC;O3;SO;PM2.5;SP;AQHIX;SI;NO2;SN;O3H8;S8;SO2;SS;LAG
I00-I99;Warm All;0.009569338;0.003101881;0.04308943;0.03724582;0.000663559;0.000369927;0.00172462;0.000433805;0.00346368;0.002108035;0.000757882;0.000458882;0.000240673;0.000207099;-0.000745079;0.002423501;4
I00-I99;Warm Female;0.013506014;0.003975285;0.127729272;0.047689933;0.000611481;0.000473424;0.002096018;0.000556062;0.006730702;0.002699739;0.001583872;0.000587106;0.000415822;0.000265278;0.000128962;0.003103555;4
I00-I99;Warm Male;0.005912478;0.003979643;-0.03563407;0.04777907;0.000708727;0.000474983;0.001383672;0.000556976;0.000418334;0.002703684;-1.21E-05;0.000589033;7.62E-05;0.000265595;-0.00155482;0.003108678;4
I00-I99;Cold All;-0.004887848;0.003548218;-0.02948892;0.02451563;-0.000643033;0.000433712;-0.0007257;0.000394058;-0.001328248;0.002433037;1.86E-05;0.00034737;-0.000686191;0.000388523;-0.000126036;0.001743263;4
I00-I99;Cold Female;0.00343557;0.004419141;-0.003355956;0.030637606;-4.54E-05;0.000541782;-0.000256375;0.000490572;0.003930677;0.003035042;0.000518858;0.000433438;0.000282741;0.00048577;0.003472232;0.002180548;4
I00-I99;Cold Male;-0.012798754;0.004532486;-0.05399699;0.03124536;-0.001204017;0.000552818;-0.001172963;0.000504009;-0.006302187;0.003103412;-0.000454126;0.000443162;-0.001597113;0.000494483;-0.00347192;0.002218724;4
I00-I99;Age 0-10 All;0.01165014;0.03163606;-0.2840569;0.2836708;0.004224488;0.003726594;0.004513732;0.003916489;-0.004032284;0.021424833;-0.002940097;0.003706137;0.002227042;0.002473843;0.007898727;0.019741895;4
I00-I99;Age 0-10 Female;-0.02478386;0.04389879;-0.86415786;0.39875033;0.006179182;0.005175713;0.001637389;0.005494668;-0.02342004;0.02987639;-0.00843942;0.005160911;0.00356258;0.003435854;-0.01670589;0.02834323;4
I00-I99;Age 0-10 Male;0.03508649;0.0383713;0.09042041;0.34161745;0.002921329;0.004518527;0.006316392;0.00471806;0.008917765;0.025889126;0.000592853;0.004482341;0.001529547;0.00299925;0.02227166;0.02341968;4
I00-I99;Age 11-60 All;-0.005283916;0.005059673;-0.10225792;0.04469379;0.000738205;0.000606572;-0.00057499;0.000635834;-0.005445295;0.003439453;-0.001022673;0.000599096;-0.0002395;0.000392993;-0.003579769;0.003089474;4
I00-I99;Age 11-60 Female;-0.002515084;0.0070991;-0.13663964;0.06298005;0.002089163;0.000848233;-0.001056987;0.000892476;-0.003455423;0.004829761;-0.001144582;0.000842065;0.000387382;0.000550808;-0.00342293;0.004364281;4
I00-I99;Age 11-60 Male;-0.007311633;0.006269695;-0.07588483;0.05526717;-0.000296674;0.000753115;-0.000195009;0.000787614;-0.006904205;0.004259969;-0.00092487;0.000741534;-0.000711329;0.000487205;-0.003666361;0.003808967;4
I00-I99;Age 60+All;0.00832789;0.003722731;0.04633531;0.03273964;-0.000191704;0.000447281;0.000838846;0.000465447;0.005377132;0.002535053;0.001065297;0.000440767;0.000175493;0.000291264;0.001052081;0.002261218;4
I00-I99;Age 60+ Female;0.014743479;0.004742881;0.119589925;0.041667775;-0.000453606;0.000570922;0.00160933;0.00059169;0.0097606;0.003231328;0.001886539;0.000560914;0.000364549;0.000372125;0.004711676;0.002879039;4
I00-I99;Age 60+ Male;0.001536289;0.0050767;-0.03121212;0.04465097;8.33E-05;0.000608755;1.84E-05;0.000636129;0.000735178;0.003455136;0.000191995;0.000601835;-2.52E-05;0.000396001;-0.002813845;0.003083921;4
I00-I99;All: LAG 5;0.003468886;0.003301065;0.003235024;0.028970579;0.000246058;0.000393922;0.000350967;0.000411895;0.003099088;0.002250256;0.000249237;0.000392978;0.000487798;0.000256254;0.002382742;0.001982382;5
I00-I99;Female;0.007091125;0.00416514;0.02665633;0.03659703;0.000573661;0.000497841;0.000612721;0.000519577;0.005187335;0.002841375;0.000520425;0.000496303;0.00071393;0.000323732;0.003670912;0.00250722;5
I00-I99;Male;7.94E-05;0.004229986;-0.01859712;0.03709234;-5.97E-05;0.000503977;0.000107103;0.000527994;0.001144579;0.002881959;-4.14E-06;0.000503157;0.000276104;0.000328077;0.001185154;0.002535529;5
I00-I99;Warm All;0.007971702;0.003097976;0.126246556;0.036790018;0.000167699;0.000370109;0.00155068;0.000431601;0.005405264;0.002114603;0.000922358;0.000459926;0.000505884;0.000207632;0.004906994;0.002368221;5
I00-I99;Warm Female;0.011188555;0.003961441;0.182779099;0.047024963;0.000548024;0.00047276;0.001881709;0.00055189;0.007020316;0.002703607;0.001179889;0.000587887;0.000669804;0.000265471;0.006124305;0.003028348;5
I00-I99;Warm Male;0.00498219;0.003978127;0.07353219;0.04729984;-0.000187785;0.00047536;0.001245744;0.000554686;0.003889053;0.002716051;0.000680847;0.000590756;0.000351716;0.000266644;0.003765763;0.003040359;5
I00-I99;Cold All;-0.003032558;0.00358264;-0.04973361;0.02462611;0.000204783;0.000432934;-0.000645046;0.000395067;-0.000106866;0.002451229;-0.000138967;0.000351382;0.000362103;0.000384063;0.001195184;0.001738965;5
I00-I99;Cold Female;0.001381586;0.004456914;-0.0408647;0.03075404;0.000497645;0.00054145;-0.000441391;0.000492076;0.002759319;0.003054656;0.000154749;0.000438457;0.00082014;0.000478649;0.002428494;0.002174634;5
I00-I99;Cold Male;-0.007226933;0.004587566;-0.0580554;0.0314471;-6.75E-05;0.000551678;-0.000838203;0.000505487;-0.002809414;0.003133644;-0.000414965;0.000448709;-6.85E-05;0.000490947;5.20E-05;0.002217113;5
I00-I99;Age 0-10 All;0.06126063;0.03127231;-0.1170801;0.2803419;0.007890718;0.003751036;0.007238423;0.003834001;0.02566471;0.02126987;0.001538169;0.003644172;0.00484017;0.002493174;0.01606701;0.01903075;5
I00-I99;Age 0-10 Female;-0.02637459;0.04406144;-0.5742063;0.3851033;0.00499295;0.00526616;-0.00107559;0.005482567;-0.02510416;0.02979638;-0.006302741;0.00503963;0.001175626;0.003529574;-0.03347497;0.02706599;5
I00-I99;Age 0-10 Male;0.118625254;0.037683697;0.1966329;0.3422524;0.009743204;0.004518969;0.012421893;0.004569876;0.0598614;0.02572139;0.0069819;0.004439307;0.007275688;0.002993148;0.04644929;0.02275143;5
I00-I99;Age 11-60 All;-0.001986436;0.005080898;-0.05304276;0.04472811;0.000205376;0.000604785;-0.000195878;0.00063508;4.79E-05;0.003467572;-0.00035209;0.000605769;0.000378081;0.000393369;0.000487408;0.003037614;5
I00-I99;Age 11-60 Female;-0.002152276;0.007122389;-0.08912097;0.06312924;0.001110724;0.000845434;-0.000742626;0.000890454;-0.000319637;0.00486698;-0.000659504;0.000851743;0.000612344;0.000550219;-0.000958098;0.004284374;5
I00-I99;Age 11-60 Male;-0.001891021;0.006302649;-0.02622828;0.05521759;-0.000490044;0.000751558;0.000220381;0.000787624;0.000297915;0.00429715;-0.000125107;0.000749681;0.000196309;0.000488772;0.001560522;0.003750821;5
I00-I99;Age 60+All;0.005816893;0.003741766;0.03432823;0.03276952;0.000191938;0.000447177;0.000570212;0.000466557;0.004502075;0.002549338;0.000557559;0.000445148;0.000504611;0.000290936;0.003284301;0.002252748;5
I00-I99;Age 60+ Female;0.011482415;0.004757401;0.08252296;0.04160689;0.000287318;0.000570669;0.001229221;0.000592784;0.00788598;0.003243356;0.001103752;0.000566025;0.000754835;0.000370956;0.006038577;0.002864248;5
I00-I99;Age 60+ Male;-0.000185345;0.005099172;-0.01691693;0.04470982;9.41E-05;0.000607137;-0.000130833;0.000636262;0.000922501;0.003472599;-2.20E-05;0.000606638;0.000242305;0.00039544;0.000379952;0.003070383;5
I00-I99;All: LAG 6;-0.001243319;0.003284471;-0.006974339;0.029299567;0.000185234;0.000397311;-0.000400851;0.00040936;0.00037188;0.002232192;-0.000115151;0.000389547;0.000217125;0.000256048;-0.00187963;0.001958532;6
I00-I99;Female;0.003097264;0.004142619;0.0405301;0.03685689;0.000319619;0.000501339;0.000330082;0.000515996;0.003491678;0.002813041;0.000160882;0.000490941;0.000696764;0.0003229;0.000702238;0.002474735;6
I00-I99;Male;-0.005323923;0.004206608;-0.05200892;0.03759753;6.08E-05;0.000508805;-0.00108916;0.000524496;-0.002569031;0.00286109;-0.000376309;0.000499394;-0.000232495;0.000327905;-0.004291762;0.002503955;6
I00-I99;Warm All;0.000111847;0.003098468;0.07609064;0.03697798;-0.000321243;0.000372405;0.000303951;0.000432456;0.000666288;0.00209803;0.000131636;0.000453404;5.45E-05;0.000207486;-0.00176496;0.002329527;6
I00-I99;Warm Female;0.004331458;0.003960887;0.2259301;0.04710311;-0.000713538;0.000475689;0.001165784;0.000552321;0.005208641;0.002677338;0.001033097;0.000578246;0.000420041;0.000264894;0.000309432;0.002973807;6
I00-I99;Warm Male;-0.003816584;0.003977233;-0.06350044;0.04752738;4.66E-05;0.000478473;-0.000497445;0.000555439;-0.003587374;0.002696219;-0.000715277;0.000583089;-0.000287364;0.0002666;-0.003703254;0.002994639;6
I00-I99;Cold All;-0.00289313;0.003538403;-0.04221525;0.02496249;0.000678264;0.000436879;-0.000917886;0.000390179;0.000394431;0.002427183;-0.000189656;0.000348984;0.000750678;0.000381773;-0.001528186;0.001724861;6
I00-I99;Cold Female;0.00240806;0.00440071;-0.04114327;0.03103943;0.001582349;0.00054416;-0.000260487;0.000485805;0.002234219;0.003019589;-0.000224688;0.000434731;0.001726519;0.000474627;0.001571938;0.002156009;6
I00-I99;Cold Male;-0.007934541;0.00452615;-0.04340307;0.03194204;-0.000166933;0.000557944;-0.001545087;0.000498729;-0.001348605;0.003104741;-0.000157728;0.000445895;-0.000167529;0.000488309;-0.004431989;0.002194964;6
I00-I99;Age 0-10 All;0.02456146;0.03151416;0.00323654;0.2833384;-0.002475566;0.003725165;0.000480817;0.003947607;0.02708929;0.02125497;0.005134849;0.003636918;0.001003107;0.002471824;0.004146443;0.019149483;6
I00-I99;Age 0-10 Female;0.01744061;0.04394507;0.1023742;0.3814732;-0.011981389;0.005241098;0.000257154;0.005514991;0.0254306;0.02951196;0.00948598;0.005019769;-0.004536742;0.003451739;0.004929744;0.027082946;6
